"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.target_frequency"	"Answer.familiarization_cond"	"Answer.level"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.manip_check_foil"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.scale_and_levels_condition"	"Answer.familiarization_present_in_study"	"Answer.top_question_order"	"Answer.middle_question_order"	"Answer.bottom_question_order"	"Answer.image_version"	"Answer.hand_position"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3HL8HNGX451PZIDQWF9QW9WL08D9F6"	"A2YJQUHFIXNOY0"	"Approved"	"Wed Jul 30 11:23:47 PDT 2014"	"Tue Jul 29 18:43:00 PDT 2014"	"Tue Jul 29 18:43:47 PDT 2014"	"Tue Jul 29 18:48:16 PDT 2014"	""	""	""	""	"""sundae"""	"""whipped cream"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Deciding what he was referring too."""	"""No."""	"""27"""	"""f"""	"6"	"0"	"0"	"2"	"1"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3DYGAII7PL87IUJ6RKGHUY0ECE3QPB"	"A1H3TNUIQS76TM"	"Approved"	"Wed Jul 30 11:24:48 PDT 2014"	"Tue Jul 29 18:44:04 PDT 2014"	"Tue Jul 29 18:44:48 PDT 2014"	"Tue Jul 29 18:49:19 PDT 2014"	""	""	""	""	"""pizza"""	"""mushrooms"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Pizza"""	"""None"""	"""31"""	"""M"""	"6"	"0"	"1"	"2"	"0"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3WOKGM4L71G19126VM9NQS46P59O0U"	"A1QW9X92VY4J4D"	"Approved"	"Wed Jul 30 11:25:13 PDT 2014"	"Tue Jul 29 18:43:56 PDT 2014"	"Tue Jul 29 18:45:13 PDT 2014"	"Tue Jul 29 18:48:16 PDT 2014"	""	""	""	""	"""friend"""	"""bowtie"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Word association?"""	"""No."""	"""27"""	"""M"""	"14"	"0"	"1"	"2"	"0"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3WR9XG3T63BBNJS8X1FNR98OGSG471"	"AMS2DNBF8BGUM"	"Approved"	"Wed Jul 30 11:25:41 PDT 2014"	"Tue Jul 29 18:44:19 PDT 2014"	"Tue Jul 29 18:45:41 PDT 2014"	"Tue Jul 29 18:49:20 PDT 2014"	""	""	""	""	"""Christmas tree"""	"""ornaments"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Choosing which tree Bob was talking about with only one word"""	"""none"""	"""23"""	"""f"""	"6"	"0"	"2"	"0"	"1"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3I3WADAZ9Q4048O7SSFZ7N0X6DKO5F"	"A3JFM7PRPF0G5H"	"Approved"	"Wed Jul 30 11:25:49 PDT 2014"	"Tue Jul 29 18:45:08 PDT 2014"	"Tue Jul 29 18:45:49 PDT 2014"	"Tue Jul 29 18:50:14 PDT 2014"	""	""	""	""	"""Christmas tree"""	"""presents"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Christmas Trees"""	"""No"""	"""21"""	"""m"""	"14"	"0"	"2"	"0"	"1"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"30OG32W0SUBII6HO2E8PWS65TWFENS"	"A9FCR1QRZAM3U"	"Approved"	"Wed Jul 30 11:26:00 PDT 2014"	"Tue Jul 29 18:45:02 PDT 2014"	"Tue Jul 29 18:46:00 PDT 2014"	"Tue Jul 29 18:49:20 PDT 2014"	""	""	""	""	"""Christmas tree"""	"""ornaments"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""perception"""	"""none"""	"""32"""	"""m"""	"6"	"0"	"1"	"2"	"0"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3OSWBBLG1EXI2UHS8PKEOCFIVYNDXH"	"AYBFREKHNYDRG"	"Approved"	"Wed Jul 30 11:26:20 PDT 2014"	"Tue Jul 29 18:44:46 PDT 2014"	"Tue Jul 29 18:46:20 PDT 2014"	"Tue Jul 29 18:49:20 PDT 2014"	""	""	""	""	"""Christmas tree"""	"""lights"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""FALSE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""About Joe loving to trim Christmas Tree. Oh and lights."""	"""Lights"""	""""""	"""m"""	"0"	"0"	"0"	"2"	"1"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3WT783CTPBH1KZ8D3XXLF968RVOCB8"	"A3T3K88IYZ9H8K"	"Approved"	"Wed Jul 30 11:26:21 PDT 2014"	"Tue Jul 29 18:45:23 PDT 2014"	"Tue Jul 29 18:46:21 PDT 2014"	"Tue Jul 29 18:48:17 PDT 2014"	""	""	""	""	"""friend"""	"""hat"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Who Bob was referrring to when he said hat. """	"""No. """	"""31"""	"""m"""	"0"	"0"	"0"	"2"	"1"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3R3YRB5GRF3SNJKLJAIPE488GD9AUK"	"A32E95KMPZ6833"	"Approved"	"Wed Jul 30 11:26:45 PDT 2014"	"Tue Jul 29 18:45:27 PDT 2014"	"Tue Jul 29 18:46:45 PDT 2014"	"Tue Jul 29 18:48:17 PDT 2014"	""	""	""	""	"""friend"""	"""mustache"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""meeting a friend"""	""""""	"""50"""	"""female"""	"6"	"0"	"2"	"1"	"0"	"""5"""	"-1"
"32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Jul 29 18:41:56 PDT 2014"	"300"	"0"	"0"	"300"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Aug 05 18:41:56 PDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9WAX448F"	"3IUZPWIU1O7BR0ICQ1AFQ6W165EWKK"	"A2JSJEYL56UXGS"	"Approved"	"Wed Jul 30 11:26:48 PDT 2014"	"Tue Jul 29 18:45:46 PDT 2014"	"Tue Jul 29 18:46:48 PDT 2014"	"Tue Jul 29 18:49:20 PDT 2014"	""	""	""	""	"""snowman"""	"""scarf"""	"0"	"-1"	"1"	"0"	"0"	"1"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob likes to decorate snowmen."""	""""""	"""29"""	"""m"""	"6"	"0"	"0"	"2"	"1"	"""5"""	"-1"
