"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.distractor_property"	"Answer.target_position"	"Answer.distractor_position"	"Answer.target_frequency"	"Answer.familiarization_cond"	"Answer.level"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.manip_check_foil"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.matrix_number"	"Answer.familiarization_present_in_study"	"Answer.top_question_order"	"Answer.middle_question_order"	"Answer.bottom_question_order"	"Answer.image_version"	"Answer.hand_position"	"Answer.object_1_items"	"Answer.object_2_items"	"Answer.object_3_items"	"Answer.object_4_items"	"Answer.position_chosen"	"Answer.items_chosen"
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3XC1O3LBOSMUJPW0GWH5IM2HA8ITLO"	"A166A2M31CW2C7"	"Submitted"	"Wed Mar 25 10:26:35 EDT 2015"	"Tue Mar 24 17:45:40 EDT 2015"	"Tue Mar 24 17:46:35 EDT 2015"	""	""	""	""	""	"""snowman"""	"""hat"""	"[""mittens"",""scarf""]"	"[""middle2"",""middle1""]"	"[""right"",""left""]"	"0"	"-1"	"2"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""snowmen"""	""""""	"""26"""	"""m"""	"6"	"0"	"1"	"2"	"0"	"""5"""	"-1"	"""hat,scarf,mittens,"""	"""hat,"""	"""hat,"""	"""hat,scarf,"""	"""3"""	"""hat,scarf,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3ON104KXQKWQDYT959NZJP75SG5W4O"	"A26OCU9PF393MC"	"Submitted"	"Wed Mar 25 10:26:56 EDT 2015"	"Tue Mar 24 17:45:39 EDT 2015"	"Tue Mar 24 17:46:56 EDT 2015"	""	""	""	""	""	"""sundae"""	"""sprinkles"""	"[""cherry"",""chocolate"",""whipped cream""]"	"[""middle1""]"	"[""right"",""left"",""middle2""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""I have no idea."""	"""No."""	"""31"""	"""m"""	"9"	"0"	"1"	"2"	"0"	"""5"""	"-1"	"""whipped cream,chocolate,"""	"""whipped cream,chocolate,sprinkles,"""	"""cherry,whipped cream,chocolate,sprinkles,"""	"""whipped cream,chocolate,"""	"""1"""	"""whipped cream,chocolate,sprinkles,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"30X31N5D63QC86SHU5NPZ3QKED6SAH"	"A1G187YBG0DVMQ"	"Submitted"	"Wed Mar 25 10:27:05 EDT 2015"	"Tue Mar 24 17:46:18 EDT 2015"	"Tue Mar 24 17:47:05 EDT 2015"	""	""	""	""	""	"""snowman"""	"""hat"""	"[""scarf"",""belt"",""mittens""]"	"[""right""]"	"[""middle1"",""left""]"	"0"	"-1"	"2"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""communication"""	""""""	""""""	"""m"""	"8"	"0"	"2"	"0"	"1"	"""5"""	"-1"	"""hat,scarf,mittens,belt,"""	"""hat,mittens,belt,"""	"""hat,mittens,"""	""""""	"""0"""	"""hat,scarf,mittens,belt,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3WQ3B2KGE8GHXWYFN081YDNH6VDB1A"	"AKNV05F5X5YAC"	"Submitted"	"Wed Mar 25 10:27:10 EDT 2015"	"Tue Mar 24 17:45:41 EDT 2015"	"Tue Mar 24 17:47:10 EDT 2015"	""	""	""	""	""	"""friend"""	"""glasses"""	"[""bowtie"",""mustache"",""hat""]"	"[""left""]"	"[""middle1"",""right""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""How people make decisions from a given set of options given one word"""	""""""	"""19"""	"""m"""	"8"	"0"	"2"	"1"	"0"	"""5"""	"-1"	"""hat,glasses,mustache,"""	"""hat,mustache,"""	"""hat,glasses,mustache,bowtie,"""	""""""	"""2"""	"""hat,glasses,mustache,bowtie,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3STRJBFXOWRJZJEIVW543MP2L8DTKL"	"AS4WHZ0EVURW"	"Submitted"	"Wed Mar 25 10:27:21 EDT 2015"	"Tue Mar 24 17:45:32 EDT 2015"	"Tue Mar 24 17:47:21 EDT 2015"	""	""	""	""	""	"""pizza"""	"""olives"""	"[""peppers"",""mushrooms""]"	"[""middle2"",""left""]"	"[""right"",""middle1""]"	"0"	"-1"	"2"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Guessing what someone is saying"""	"""No"""	"""24"""	"""F"""	"6"	"0"	"0"	"1"	"2"	"""5"""	"-1"	"""olives,"""	"""mushrooms,olives,peppers,"""	"""olives,"""	"""mushrooms,olives,"""	"""1"""	"""mushrooms,olives,peppers,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3OE22WJIGIOKAZR286FB44ND3SCQU1"	"A2OG7XGWOX5ZEF"	"Submitted"	"Wed Mar 25 10:27:43 EDT 2015"	"Tue Mar 24 17:45:42 EDT 2015"	"Tue Mar 24 17:47:43 EDT 2015"	""	""	""	""	""	"""friend"""	"""bowtie"""	"[""mustache"",""hat"",""glasses""]"	"[""right""]"	"[""middle1"",""middle2"",""left""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""figuring out what a person was talking about"""	"""no"""	"""27"""	"""m"""	"9"	"0"	"0"	"1"	"2"	"""5"""	"-1"	"""hat,glasses,mustache,bowtie,"""	"""hat,glasses,"""	"""hat,glasses,"""	"""hat,glasses,bowtie,"""	"""1"""	"""hat,glasses,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"354P56DE9K3UP4UJN2B5PCOUD50S7Q"	"A2SNMMSKX224GR"	"Submitted"	"Wed Mar 25 10:28:38 EDT 2015"	"Tue Mar 24 17:47:10 EDT 2015"	"Tue Mar 24 17:48:38 EDT 2015"	""	""	""	""	""	"""sundae"""	"""whipped cream"""	"[""sprinkles"",""chocolate"",""cherry""]"	"[""middle1"",""left""]"	"[""middle2"",""right""]"	"0"	"-1"	"2"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob and ice cream"""	"""lol thanks !"""	"""39"""	"""m"""	"9"	"0"	"0"	"2"	"1"	"""5"""	"-1"	"""cherry,whipped cream,"""	"""cherry,whipped cream,"""	"""cherry,whipped cream,chocolate,"""	"""cherry,whipped cream,chocolate,sprinkles,"""	"""3"""	"""cherry,whipped cream,chocolate,sprinkles,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"3OJSZ2ATDSWTJ2W8B6YXW1E2ZLS753"	"A34L969HBGK6K4"	"Submitted"	"Wed Mar 25 10:29:43 EDT 2015"	"Tue Mar 24 17:48:39 EDT 2015"	"Tue Mar 24 17:49:43 EDT 2015"	""	""	""	""	""	"""Christmas tree"""	"""lights"""	"[""star"",""ornaments"",""presents""]"	"[""left""]"	"[""right"",""middle1""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""I don't know"""	""""""	"""31"""	"""f"""	"8"	"0"	"2"	"0"	"1"	"""5"""	"-1"	"""lights,ornaments,presents,"""	"""lights,ornaments,star,presents,"""	"""ornaments,presents,"""	""""""	"""2"""	"""ornaments,presents,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"35LDD5557A4FMOOYMZ4SH8UAR0IMKE"	"A050383932MZW4XOYPJAY"	"Submitted"	"Wed Mar 25 10:30:14 EDT 2015"	"Tue Mar 24 17:46:26 EDT 2015"	"Tue Mar 24 17:50:14 EDT 2015"	""	""	""	""	""	"""sundae"""	"""sprinkles"""	"[""cherry"",""chocolate"",""whipped cream""]"	"[""left""]"	"[""middle2"",""middle1"",""right""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor3"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""The survey evaluates how people communicate when only limited information is available."""	"""I did not quite understand the logic behind this. I am not sure whether I selected the right choice or not. I hope I did not miss any important information."""	"""31"""	"""Female"""	"9"	"0"	"2"	"1"	"0"	"""5"""	"-1"	"""whipped cream,chocolate,sprinkles,"""	"""whipped cream,chocolate,"""	"""whipped cream,chocolate,"""	"""cherry,whipped cream,chocolate,sprinkles,"""	"""3"""	"""cherry,whipped cream,chocolate,sprinkles,"""
"38DCH97KHH289ZIE656V8IJGS1EQJB"	"3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.25"	"Tue Mar 24 17:44:26 EDT 2015"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Tue Mar 31 17:44:26 EDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHH289ZIE656V8IJGS1EQJB"	"39N5ACM9HEN1QV2KAI5V83APLBHP9J"	"A1IIEE47KA97UT"	"Submitted"	"Wed Mar 25 10:33:13 EDT 2015"	"Tue Mar 24 17:45:11 EDT 2015"	"Tue Mar 24 17:53:13 EDT 2015"	""	""	""	""	""	"""pizza"""	"""mushrooms"""	"[""peppers"",""olives"",""sausage""]"	"[""right""]"	"[""middle1"",""left""]"	"0"	"-1"	"1"	"0"	"0"	"11"	"0"	"0"	"-1"	"-1"	"-1"	"""TRUE"""	"""distractor2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""making a decicsion"""	""""""	"""19"""	"""male"""	"8"	"0"	"1"	"2"	"0"	"""5"""	"-1"	"""mushrooms,olives,peppers,sausage,"""	"""olives,sausage,"""	"""mushrooms,olives,sausage,"""	""""""	"""0"""	"""mushrooms,olives,peppers,sausage,"""
